model,file,rank,idx,task,label
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18560,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@@H1][Branch2][#Branch1][#C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][\C][C][C][/C][=C][Branch1][C][\C][C][C][C][=C][Branch1][C][C][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch2][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][=Branch1][S][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch2][Ring1][#Branch2][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18616,smol-molecule_generation,<SELFIES>[C][C@H1][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][N][C][C][C@H1][Branch1][Ring1][C][N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18940,smol-molecule_generation,<SELFIES>[C][C][=C][N][Branch2][O][P][C@H1][C][C@H1][Branch2][#Branch2][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][C@@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][Ring2][#Branch1][N][C][=Branch1][C][=O
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19068,smol-molecule_generation,<SELFIES>[C][C][=C][C][=C][C][Branch2][=N][=Branch2][C][C@H1][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][C][=C][S][C][=N][Ring1][Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][N][C][C][C@H1][Branch1][Ring1][C][N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19172,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch2][Ring1][#Branch2][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][C][O][O][C@@H1][Ring1][N][C][O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch2][#Branch1][O][C@@H1][O][C@H1][Branch2][Branch1][#C][C][O][C@H1][O][C@H1][Branch2][Ring1][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring1][S][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][=Branch1
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19180,smol-molecule_generation,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][/C][=C][/C@@H1][Branch1][C][O][C@H1][Branch2][N][O][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][O][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][#Branch1][Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Branch1][=C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C@H1][Ring2][Ring1][=C][O][C@H1][Ring2][Ring2][=Branch2][N][C][Branch1][C][C][=O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19424,smol-molecule_generation,<SELFIES>[C][O][C@H1][O][C@H1][Branch1][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@@H1][Branch2][#Branch2][#Branch2][O][C@@H1][O][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C@@H1][Branch2][Branch2][#Branch2][O][C@H1][O][C@H1][Branch1][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@@H1][Branch2][Branch1][=N][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C@@H1][Branch2][Ring2][Branch1][O][C@H1][O][C@H1][Branch1][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][=C][N][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][=C][O][C@H1][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@H1][Ring2][Ring2][P][N][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@H1][Branch1][C][O][C@H1][Ring2][Branch
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19432,smol-molecule_generation,<SELFIES>[N][C][C][C][C][C][O][C@@H1][O][C@H1][Branch2][Branch2][Branch1][C][O][C@H1][O][C@H1][Branch2][Ring2][=Branch2][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][=Branch1][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19736,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@@H1][C@@H1][Branch2][Ring1][Ring2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][C@H1][Branch2][O][=Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][#Branch2][Ring2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch1][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][=Branch1][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch2][Ring1][Ring2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][C@H1][Ring2][Ring1][#C][N][C][Branch1][C][C][=O][C@H1][Branch1][C][O][C@H1][Ring2][Ring2][=N][O][C@H
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,19972,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@@H1][Branch2][=Branch2][=Branch2][O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][#Branch1][#C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][\C][C][C][/C][=C][Branch1][C][\C][C][C][C][=C][Branch1][C][C][C][C@@H1][Ring2][=Branch1][=Branch2][N][C][Branch1][C][C][=O][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@@H1][Ring2][#Branch1][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O]</SELFI
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,20000,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][N][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch2][=N][O][C@@H1][O][C@H1][Branch2][#Branch1][C][C][O][C@H1][O][C@H1][Branch2][Ring1][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring2][O][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,20108,smol-molecule_generation,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][/C][=C][/C@@H1][Branch1][C][O][C@H1][Branch2][=N][Branch1][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][O][#C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][Branch1][C][C][=O][C@H1][Branch2][Branch2][P][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][#Branch1][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][Branch1][C][C][=O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][C][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,20352,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@@H1][Branch2][#Branch1][#C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][/C][C][C][/C][=C][Branch1][C][\C][C][C][/C][=C][Branch1][C][\C][C][C][C][=C][Branch1][C][C][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][=Branch1][=Branch2][O][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][#Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C][=Branch1][C][=O][N
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,20380,smol-molecule_generation,<SELFIES>[C][O][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][#Branch2][=Branch2][O][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][=Branch2][Ring2][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][#Branch1][S][O][C@H1][C@H1][Branch2][=Branch1][#Branch1][O][C@H1][C][C][C@][Branch1][C][C][C][=C][C@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][C@@][Branch1][C][C][Branch1][N][C][C][C][Branch1][C][O][C][Branch1][C][C][C][C@@][Ring1][=C][Branch1][C][O][C][C][C@@][Ring2][Ring1][C][Branch1][C][C][C@@H1][Ring2][Ring1][Branch2][C][C][C@H1][Ring2][Ring1][=N][C][Ring2][Ring1][P][Branch1][C][C][C][O][C][C@@H1][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C@@H1][Ring2][Ring2][#C][O][O][C@@H1][Ring2][Branch1][=Branch2][C][O][C@H1][Branch1][Ring1][C][O][C@H1][Ring2][=Branch1][Ring2][O][O][C@H1][Branch1][Ring1][C][O][C@H1][Ring
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,20528,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][=C][O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][N][P][O][C@@H1][O][C@H1][Branch2][=Branch1][Ring1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Branch1][N][C][Branch1][C][C][=O][C@@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][Branch1][C][C][=O][C@H1][Branch2][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,3577,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][=C][O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][N][P][O][C@@H1][O][C@H1][Branch2][=Branch1][Ring1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Branch1][N][=C][Branch1][C][C][O][C@@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@H1][Branch2][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,3821,chebi-20-text2mol,<SELFIES>[C][C][=C][C][=C][C][Branch2][=N][=Branch2][C][C@H1][Branch2][Ring2][#Branch1][N][=C][Branch1][C][O][C][N][=C][Branch1][C][O][C@H1][Branch1][C][C][N][=C][Branch1][C][O][C@H1][Branch1][=Branch2][C][C][=C][S][C][=N][Ring1][Branch1][N][=C][Branch1][C][O][C][N][C][Branch1][C][O][=N][C@@H1][Branch2][Ring1][N][C][C][C@H1][Branch1][Ring1][C][N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][Branch1][C][O][=N][C][C][Branch1][C][O][=N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=N][O][C][Branch1][C][O][=N][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][Branch1][C][O][=N][C@@H1][Branch1][=Branch1][C][C][C][C][N][C][Branch1][C][O][=N][C][C][Branch1][C][O][=N][C@@H1][Branch1][Branch2][C][C][C][=
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,4069,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch3][Ring1][C][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][S][=N][O][C@@H1][O][C@H1][Branch2][O][N][C][O][C@H1][O][C@H1][Branch2][#Branch1][=Branch2][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch1][=C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C@H1][Ring2][Ring1][=C][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring2][=Branch2][N][=C][Branch1][C][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][#C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][B
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,4185,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][S][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][N][N][=C][Branch1][C][C][O-1][C@H1][Branch1][C][O][C@H1][Ring2][Ring2][#Branch2][N][=C][B
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,4293,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][#Branch1][C][O][C@@H1][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][O][C@@H1][Ring1][=Branch2][C][O][O][C@@H1][Ring2][Ring2][Branch2][C][O][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@@H1][Ring2][Branch1][Ring2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][C
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,4513,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][Ring2][N][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C][Branch1][C][O][O][C@@H1][Ring1][N][C][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch2][#Branch1][O][C@@H1][O][C@H1][Branch2][Ring2][=C][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@H1][Branch2][Ring2][=N][O][C@H1
chemdfm_non_classification,131017_chemdfm_test_rank1.csv,1,4893,chebi-20-text2mol,<SELFIES>[C][C][=C][N][=C][Branch2][#Branch2][N][C][=C][N][=C][Branch2][Branch2][=C][C][Branch1][C][C][=C][N][C@@][Branch1][C][C][Branch2][=Branch1][#Branch2][C@@H1][N][=C][Ring1][P][C@][Branch1][C][C][Branch2][Branch1][Ring2][C][C][C][Branch1][C][O][=N][C][C@@H1][Branch1][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][P][N+1][=C][NH1][C][=C][C][Branch1][C][O-1][=C][C][=C][Ring1][#Branch1][Ring1][#Branch2][O][C@@H1][Ring1][S][C][O][C@H1][Ring2][Ring2][Branch1][C][C][=Branch1][C][=N][O][C@@][Branch1][C][C][Branch1][#Branch1][C][C][=Branch1][C][=N][O][C@@H1][Ring2][Branch1][Ring2][C][C][C][=Branch1][C][=N][O][C@@][Branch1][C][C][Branch1][#Branch1][C][C][=Branch1][C][=N][O][C@@H1][Ring2][=Branch1][Branch1][C][C][C][=Branch1][C][=N][O-1][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][#Branch1][C][C][C][C][=Branch1][C][=N
